Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2020-11-24,112.49588012695312,155.9029998779297,87.8764419555664,275.8662109375,206.720947265625,12.921130180358887,185.1266632080078
2020-11-25,113.33589935302734,159.2534942626953,87.88790130615234,274.5412902832031,206.73062133789062,13.197346687316895,191.3333282470703
2020-11-27,113.88288879394531,159.76699829101562,89.02825927734375,276.7528381347656,208.0452117919922,13.223773002624512,195.25332641601562
2020-11-30,116.2857894897461,158.40199279785156,87.40315246582031,275.916015625,206.92388916015625,13.363626480102539,189.1999969482422
2020-12-01,119.87056732177734,161.00399780273438,89.44376373291016,285.45953369140625,208.99252319335938,13.35215950012207,194.9199981689453
2020-12-02,120.22220611572266,160.17649841308594,90.91890716552734,286.4258728027344,208.1804962158203,13.506220817565918,189.60667419433594
2020-12-03,120.0854721069336,159.3365020751953,90.76298522949219,280.7774353027344,207.08827209472656,13.362085342407227,197.7933349609375
2020-12-04,119.41149139404297,158.12899780273438,90.85862731933594,278.6356506347656,207.20425415039062,13.523926734924316,199.67999267578125
2020-12-07,120.87664794921875,157.89999389648438,90.52335357666016,284.49322509765625,207.1365966796875,13.57230281829834,213.9199981689453
2020-12-08,121.49201202392578,158.864501953125,90.23937225341797,282.3215026855469,208.79917907714844,13.316203117370605,216.6266632080078
2020-12-09,118.95240020751953,155.2100067138672,88.57191467285156,276.8623962402344,204.72972106933594,12.898014068603516,201.4933319091797
2020-12-10,120.37848663330078,155.07449340820312,88.06326293945312,276.0654296875,203.49244689941406,12.939410209655762,209.02333068847656
2020-12-11,119.56777954101562,155.8209991455078,88.41947174072266,272.5090637207031,206.1409912109375,12.980306625366211,203.3300018310547
2020-12-14,118.95240020751953,157.84849548339844,87.2965316772461,273.1466064453125,207.04957580566406,13.27505874633789,213.27667236328125
2020-12-15,124.91075134277344,158.25599670410156,87.73594665527344,274.50140380859375,206.98193359375,13.326677322387695,211.0833282470703
2020-12-16,124.84237670898438,162.04800415039062,87.54215240478516,274.6210021972656,211.9600067138672,13.208975791931152,207.58999633789062
2020-12-17,125.71172332763672,161.8040008544922,86.7111587524414,273.4355163574219,212.09530639648438,13.307476043701172,218.63333129882812
2020-12-18,123.71908569335938,160.08250427246094,85.99923706054688,275.3481750488281,211.29306030273438,13.238401412963867,231.6666717529297
2020-12-21,125.25263977050781,160.3090057373047,86.41473388671875,271.751953125,215.15953063964844,13.298498153686523,216.6199951171875
2020-12-22,128.81787109375,160.3260040283203,85.70032501220703,266.0735778808594,216.46446228027344,13.244635581970215,213.44667053222656
2020-12-23,127.91924285888672,159.2635040283203,86.09938049316406,267.0897216796875,213.64190673828125,12.976316452026367,215.32666015625
2020-12-24,128.90579223632812,158.63450622558594,86.39480590820312,266.3824462890625,215.31417846679688,12.960854530334473,220.58999633789062
2020-12-28,133.51622009277344,164.197998046875,88.37761688232422,275.9458923339844,217.45040893554688,12.867341995239258,221.22999572753906
2020-12-29,131.7384490966797,166.10000610351562,87.57054901123047,275.72674560546875,216.66744995117188,12.910483360290527,221.99667358398438
2020-12-30,130.6151580810547,164.29249572753906,86.49893188476562,270.8354187011719,214.27987670898438,13.112471580505371,231.5933380126953
2020-12-31,129.60906982421875,162.84649658203125,87.31548309326172,272.1205139160156,214.99517822265625,13.02194881439209,235.22332763671875
2021-01-04,126.40523529052734,159.3314971923828,85.99476623535156,267.91656494140625,210.42306518554688,13.080301284790039,243.2566680908203
2021-01-05,127.96809387207031,160.92550659179688,86.68824768066406,269.9388427734375,210.62606811523438,13.370813369750977,245.0366668701172
2021-01-06,123.66046905517578,156.91900634765625,85.83283996582031,262.3079833984375,205.16465759277344,12.582566261291504,251.9933319091797
2021-01-07,127.88018035888672,158.10800170898438,88.39656066894531,267.71734619140625,211.00303649902344,13.310219764709473,272.0133361816406
2021-01-08,128.98391723632812,159.13499450683594,89.56681060791016,266.5517883300781,212.2886505126953,13.243139266967773,293.3399963378906
2021-01-11,125.98521423339844,155.7104949951172,87.497314453125,255.8626251220703,210.22976684570312,13.587017059326172,270.39666748046875
2021-01-12,125.80938720703125,156.04150390625,86.5577163696289,250.13449096679688,207.7552032470703,13.450613975524902,283.14666748046875
2021-01-13,127.85088348388672,158.29449462890625,87.04695129394531,250.68240356445312,209.11814880371094,13.497491836547852,284.8033447265625
2021-01-14,125.91685485839844,156.37350463867188,86.2333984375,244.7052459716797,205.90899658203125,13.16683292388916,281.6666564941406
2021-01-15,124.18794250488281,155.21249389648438,86.0689926147461,250.40345764160156,205.5513153076172,12.826942443847656,275.38665771484375
2021-01-19,124.8619384765625,156.03799438476562,88.9012222290039,260.1064147949219,209.21481323242188,12.992277145385742,281.51666259765625
2021-01-20,128.96438598632812,163.16900634765625,93.6639633178711,266.462158203125,216.85107421875,13.331915855407715,283.48333740234375
2021-01-21,133.6920166015625,165.34950256347656,93.86721801757812,271.83160400390625,217.46006774902344,13.832392692565918,281.663330078125
2021-01-22,135.84095764160156,164.6114959716797,94.28619384765625,273.4554138183594,218.4073486328125,13.677785873413086,282.21331787109375
2021-01-25,139.60154724121094,164.6999969482422,94.37188720703125,276.95208740234375,221.86785888671875,13.618684768676758,293.6000061035156
2021-01-26,139.83596801757812,166.30650329589844,95.05292510986328,280.9766845703125,224.5743865966797,13.401239395141602,294.36334228515625
2021-01-27,138.76153564453125,161.62899780273438,90.61849975585938,271.1044006347656,225.12535095214844,12.885047912597656,288.0533447265625
2021-01-28,133.90692138671875,161.88099670410156,92.3253173828125,263.9915771484375,230.95407104492188,13.017961502075195,278.4766540527344
2021-01-29,128.89601135253906,160.30999755859375,91.03797149658203,257.3469543457031,224.21670532226562,12.956864356994629,264.510009765625
2021-02-01,131.0254364013672,167.1439971923828,94.3116226196289,261.012939453125,231.6500244140625,13.203492164611816,279.9366760253906
2021-02-02,131.85569763183594,169.0,95.60941314697266,266.06365966796875,231.51470947265625,13.522430419921875,290.92999267578125
2021-02-03,130.83009338378906,165.62649536132812,102.57217407226562,265.63531494140625,234.88819885253906,13.496247291564941,284.89666748046875
2021-02-04,134.19996643066406,166.5500030517578,102.31061553955078,265.47589111328125,233.93125915527344,13.629657745361328,283.3299865722656
2021-02-05,133.78421020507812,167.6074981689453,104.06426239013672,267.07977294921875,234.11488342285156,13.55659294128418,284.07666015625
2021-02-08,133.93093872070312,166.14700317382812,103.84953308105469,265.5655517578125,234.37586975097656,14.402196884155273,287.8066711425781
2021-02-09,133.05050659179688,165.25,103.39468383789062,268.4246826171875,235.63247680664062,14.227141380310059,283.1533203125
2021-02-10,132.44400024414062,164.32899475097656,103.94718170166016,270.8354187011719,234.7141876220703,14.726873397827148,268.2733459472656
2021-02-11,132.189697265625,163.10650634765625,104.06026458740234,269.3610534667969,236.32850646972656,15.212141990661621,270.5533447265625
2021-02-12,132.42442321777344,163.885498046875,104.37313842773438,269.47064208984375,236.81175231933594,14.923375129699707,272.0400085449219
2021-02-16,130.29188537597656,163.44749450683594,105.15381622314453,272.92742919921875,235.56480407714844,15.2914400100708,265.40667724609375
2021-02-17,127.99300384521484,165.4320068359375,105.54837799072266,272.5289611816406,236.59181213378906,14.868266105651855,266.04998779296875
2021-02-18,126.88758087158203,166.4114990234375,104.91019439697266,268.3648986816406,236.19454956054688,14.791461944580078,262.4599914550781
2021-02-19,127.04410552978516,162.4949951171875,104.06326293945312,260.5646667480469,233.46246337890625,14.888711929321289,260.4333190917969
2021-02-22,123.25833129882812,159.03700256347656,102.34200286865234,259.3393249511719,227.2036590576172,14.319406509399414,238.1666717529297
